id,first_name,last_name,country,department,age,score,gender,enrollment_date
47,David,Williams,India,Software Eng,28,440,Female,2024-02-04
48,Hina,Hussain,Canada,AI,20,366,Male,2022-03-22
49,Ali,Williams,India,Data Science,30,924,Male,2023-07-19
50,Ayesha,Brown,UK,Computer Science,28,844,Male,2023-06-26
51,Daniel,Ali,Pakistan,Data Science,18,877,Female,2024-06-20
52,David,Ahmed,Pakistan,Software Eng,19,736,Female,2023-08-31
53,John,Iqbal,USA,Data Science,22,870,Female,2024-05-26
54,Hina,Williams,UK,AI,19,949,Male,2022-02-01
55,Hina,Taylor,UK,Computer Science,22,554,Female,2022-02-18
56,Sara,Ali,UK,Computer Science,25,950,Female,2022-02-16
57,Fatima,Khan,Pakistan,AI,28,414,Male,2022-09-18
58,Maria,Williams,UK,Business Analytics,30,633,Female,2024-01-13
59,Ali,Hussain,Pakistan,Software Eng,26,312,Female,2022-11-04
60,Fatima,Smith,Pakistan,Software Eng,22,853,Female,2022-10-04
61,John,Taylor,Pakistan,Computer Science,28,450,Male,2022-09-29
62,Maria,Hussain,UK,Computer Science,29,220,Female,2023-04-06
63,Sara,Hussain,Canada,AI,27,821,Male,2022-12-29
64,Hina,Williams,USA,Data Science,21,896,Female,2024-02-10
65,Maria,Williams,Pakistan,AI,23,746,Female,2023-03-14
66,Daniel,Ahmed,Germany,Data Science,20,447,Female,2024-04-24
67,Ahmed,Ahmed,USA,Business Analytics,20,268,Male,2023-05-06
68,Ayesha,Smith,Germany,Business Analytics,27,561,Male,2023-07-17
69,Sara,Ali,USA,Data Science,20,949,Male,2024-04-29
70,John,Khan,Germany,Computer Science,22,425,Female,2024-07-19
71,Ahmed,Williams,UK,Data Science,28,776,Male,2022-11-27
72,Ahmed,Williams,USA,Data Science,27,488,Female,2023-07-27
73,John,Iqbal,USA,Software Eng,24,215,Male,2023-03-16
74,John,Taylor,Germany,Business Analytics,27,436,Female,2022-07-02
75,Daniel,Brown,Germany,Computer Science,28,971,Male,2022-08-07
76,Sara,Iqbal,UK,Data Science,25,659,Female,2022-03-18
77,Hina,Williams,USA,Business Analytics,18,893,Male,2023-08-02
78,Daniel,Smith,Pakistan,Business Analytics,27,321,Female,2022-02-22
79,Maria,Ahmed,UK,Computer Science,27,453,Female,2024-04-21
80,Daniel,Hussain,USA,Computer Science,22,455,Male,2024-02-08
81,Sara,Brown,Pakistan,Computer Science,25,523,Female,2024-03-30
82,David,Smith,Canada,AI,25,987,Male,2024-01-04
83,David,Williams,Germany,Computer Science,24,568,Male,2023-03-09
84,David,Smith,Canada,Data Science,23,440,Female,2024-09-07
85,Ayesha,Brown,Germany,AI,21,958,Female,2023-02-04
86,John,Ali,Canada,Software Eng,26,634,Male,2022-01-11
87,Ayesha,Khan,Canada,Computer Science,18,951,Male,2023-12-19
88,Hina,Williams,Pakistan,Business Analytics,24,794,Female,2022-07-01
89,Ahmed,Hussain,UK,AI,29,423,Male,2023-07-20
90,Hina,Iqbal,UK,Software Eng,29,246,Female,2023-02-05
91,John,Williams,India,Software Eng,25,579,Female,2022-12-12
92,Maria,Smith,USA,Computer Science,20,881,Female,2024-09-09
93,Daniel,Brown,Germany,Business Analytics,23,527,Male,2024-08-05
94,Ayesha,Johnson,India,Data Science,28,729,Female,2023-06-04
95,John,Brown,India,Data Science,21,593,Male,2022-02-05
96,Ayesha,Johnson,UK,Data Science,22,699,Female,2022-08-05
97,Hina,Brown,Germany,Software Eng,28,703,Male,2023-04-19
98,Ahmed,Brown,Canada,Software Eng,29,265,Male,2023-03-31
99,Ali,Taylor,Canada,Software Eng,23,475,Male,2024-08-22
100,Daniel,Iqbal,USA,Software Eng,27,317,Male,2023-05-11
